,GISJOIN_T,X,whites,blacks,asians,native_americans,others,latino,tot
79,G2601630513900,79,26,2154,1,2,39,13,2235
80,G2601630514100,80,52,3339,4,14,55,22,3486
81,G2601630514200,81,15,2651,1,3,40,16,2726
82,G2601630514300,82,63,2956,1,4,27,24,3075
83,G2601630514500,83,18,1367,7,2,13,9,1416
84,G2601630515200,84,116,1865,4,9,25,13,2032
85,G2601630515300,85,198,2814,14,11,48,32,3117
86,G2601630515400,86,426,826,8,10,50,24,1344
87,G2601630515600,87,31,1305,0,6,33,10,1385
88,G2601630515700,88,380,2765,24,7,88,31,3295
89,G2601630515900,89,34,1587,0,1,15,6,1643
90,G2601630516000,90,66,2906,1,15,48,16,3052
91,G2601630516100,91,11,706,2,6,7,2,734
92,G2601630516200,92,20,739,0,0,10,5,774
93,G2601630516300,93,51,821,2,1,9,6,890
94,G2601630516400,94,83,969,7,3,21,12,1095
95,G2601630516500,95,243,1061,15,3,52,30,1404
96,G2601630516600,96,13,1963,1,8,57,16,2058
97,G2601630516700,97,30,2849,9,12,62,15,2977
98,G2601630516800,98,31,961,0,9,25,15,1041
99,G2601630516900,99,92,1836,2,4,42,15,1991
100,G2601630517000,100,568,1620,86,6,42,38,2360
101,G2601630517100,101,106,909,8,5,16,18,1062
102,G2601630517200,102,381,908,49,10,37,53,1438
103,G2601630517300,103,289,1557,21,6,47,23,1943
104,G2601630517500,104,225,1778,96,5,63,25,2192
105,G2601630518000,105,534,1551,62,1,55,61,2264
106,G2601630518400,106,105,472,5,2,29,17,630
107,G2601630518500,107,161,990,0,5,28,26,1210
108,G2601630518600,108,17,758,0,1,18,3,797
109,G2601630518800,109,45,721,3,1,15,10,795
