"","GISJOIN_T","X.1","X","whites","blacks","asians","latino","native_americans","others","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"172","G2601630526300",175,175,1245,1059,51,2236,30,191,4812,1.24699633769609,0.147576308867315,0.695961907338674,"H","L","HL"
"173","G2601630526400",176,176,364,886,17,860,12,31,2170,1.15944364893348,0.215213445217857,0.647097821357129,"M","L","ML"
"174","G2601630526500",177,177,65,3412,0,23,12,45,3557,0.220143627295831,0.228715547229762,0.122864497761341,"L","L","LL"
"175","G2601630530100",178,178,28,4018,0,32,13,81,4172,0.201675290793187,0.228912478508648,0.11255712290449,"L","L","LL"
"176","G2601630530200",179,179,590,4431,44,85,6,72,5228,0.560361958096369,0.511560598872831,0.312743963528648,"L","M","LM"
"177","G2601630530300",180,180,25,2617,12,43,17,25,2739,0.249819371969892,0.329708820561778,0.139426846214756,"L","L","LL"
"178","G2601630530400",181,181,9,2187,0,29,4,16,2245,0.150318829358519,0.177209742893415,0.0838945360357331,"L","L","LL"
"179","G2601630530500",182,182,13,2896,7,16,2,31,2965,0.141872995378328,0.214530870405453,0.0791808263413009,"L","L","LL"
"180","G2601630530700",183,183,38,2954,12,14,1,30,3049,0.179933933572935,0.226837055423029,0.100423040404221,"L","L","LL"
"181","G2601630530800",184,184,31,3409,3,18,6,24,3491,0.143563651960663,0.301947177492196,0.080124399745751,"L","L","LL"
"182","G2601630531000",185,185,5,1592,1,5,8,17,1628,0.135705363747728,0.302384121662267,0.0757386055876092,"L","L","LL"
"183","G2601630531100",186,186,49,1835,2,6,9,42,1943,0.27952794940598,0.422096715410455,0.156007518981557,"L","M","LM"
"184","G2601630531200",187,187,79,3340,3,17,9,59,3507,0.24781944329997,0.179097909575789,0.138310664771728,"L","L","LL"
"185","G2601630531300",188,188,7,1897,0,4,5,15,1928,0.102389176916709,0.212593828349597,0.0571444876810508,"L","L","LL"
"186","G2601630531400",189,189,8,2470,2,5,1,27,2513,0.105145397549465,0.208033003742039,0.0586827637053117,"L","L","LL"
"187","G2601630531500",190,190,29,4441,6,7,5,56,4544,0.135069170012799,0.173662106780654,0.0753835391036001,"L","L","LL"
"188","G2601630531600",191,191,13,2621,8,30,13,35,2720,0.20967245960619,0.16655250966414,0.117020427801352,"L","L","LL"
"189","G2601630531700",192,192,17,2695,1,8,7,61,2789,0.182486980832938,0.184872707169162,0.101847923210117,"L","L","LL"
