"","GISJOIN_T","X.1","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"123","G2601630522100",123,123,24,842,8,5,5,66,950,0.480622838960993,0.444537558789555,0.268240713787359,"L","M","LM"
"124","G2601630522200",124,124,13,608,0,1,6,27,655,0.331247721009428,0.294574703505247,0.184872873116245,"L","L","LL"
"125","G2601630522300",125,125,21,1624,0,6,30,23,1704,0.249127257814313,0.264955290961848,0.13904056994974,"L","L","LL"
"126","G2601630522400",126,126,55,1027,5,4,28,28,1147,0.469294760232355,0.321412881724221,0.261918392670497,"L","L","LL"
"127","G2601630522500",127,127,281,1307,14,16,34,55,1707,0.773277419346974,0.146001394332276,0.431574345009671,"M","L","ML"
"128","G2601630523100",128,128,287,280,3,11,35,1032,1648,1.02538055989651,0.330902625833595,0.572275786737309,"M","M","MM"
"129","G2601630523200",129,129,636,190,12,6,69,2937,3850,0.752573525631131,0.102295520281711,0.420019281915871,"M","L","ML"
"130","G2601630523300",130,130,427,294,4,8,39,2554,3326,0.755505396168876,0.124941374111585,0.421655590018659,"M","L","ML"
"131","G2601630523400",131,131,516,732,3,12,46,1411,2720,1.10949643349061,0.0859943768208887,0.619221749651821,"M","L","ML"
"132","G2601630523800",132,132,988,264,21,16,77,3216,4582,0.856816137592793,0.108152367581532,0.478198191391134,"M","L","ML"
"133","G2601630524000",133,133,515,140,23,15,34,2258,2985,0.772874180137834,0.0876404573030234,0.431349292922008,"M","L","ML"
"134","G2601630524100",134,134,832,264,1,19,66,2760,3942,0.855247152447653,0.0998834878579809,0.47732252410873,"M","L","ML"
"135","G2601630524200",135,135,1058,262,12,12,48,3572,4964,0.795518340753687,0.125612055274473,0.443987239591049,"M","L","ML"
"136","G2601630524300",136,136,653,95,6,23,41,1994,2812,0.811345398742571,0.0956247641341075,0.452820488841688,"M","L","ML"
"137","G2601630524500",137,137,366,90,6,3,40,759,1264,1.00229164492529,0.220429171935998,0.559389617936332,"M","L","ML"
"138","G2601630524700",138,138,51,3894,1,11,55,138,4150,0.302017670808123,0.269541122892678,0.16855927148427,"L","L","LL"
"139","G2601630524800",139,139,50,2585,1,9,29,122,2796,0.34985563545637,0.249908049288275,0.195258147907039,"L","L","LL"
"140","G2601630524900",140,140,436,309,7,5,34,888,1679,1.11765931587377,0.317533025032241,0.623777541053146,"M","L","ML"
"141","G2601630525000",141,141,285,375,1,3,24,416,1104,1.18976508808839,0.352861844814135,0.664020538761811,"H","M","HM"
"142","G2601630525400",142,142,220,1308,29,2,20,795,2374,1.01522395590763,0.377502679303509,0.566607278121444,"M","M","MM"
"143","G2601630525500",143,143,41,688,9,0,16,437,1191,0.895671640520999,0.304259418208444,0.499883860475358,"M","L","ML"
"144","G2601630525600",144,144,333,133,6,8,19,1172,1671,0.868360292227671,0.141941920828231,0.48464110676741,"M","L","ML"
"145","G2601630525700",145,145,998,244,38,12,88,3624,5004,0.825108614978136,0.0902729592769308,0.460501886078279,"M","L","ML"
"146","G2601630525800",146,146,382,277,7,6,41,1378,2091,0.96612883737045,0.194582050883519,0.53920677075405,"M","L","ML"
"147","G2601630526000",147,147,1271,241,15,7,143,1307,2984,1.11473381636823,0.142218679201309,0.622144788691134,"M","L","ML"
"148","G2601630526100",148,148,1473,158,4,6,127,863,2631,1.02933688297385,0.11224082286449,0.574483852688845,"M","L","ML"
"149","G2601630526200",149,149,1054,310,11,5,110,1686,3176,1.07559657737123,0.140150789528113,0.600301879713036,"M","L","ML"
"150","G2601630526300",150,150,525,470,19,12,75,2534,3635,0.921884050556054,0.199474433201042,0.514513285063441,"M","L","ML"
"151","G2601630526400",151,151,147,472,13,3,22,943,1600,1.00088372793844,0.243300878402633,0.55860384450467,"M","L","ML"
"152","G2601630526500",152,152,37,2158,2,7,72,206,2482,0.515891504770366,0.22478267845897,0.287924530959855,"L","L","LL"
"153","G2601630527200",153,153,4,1116,0,1,24,45,1190,0.287880739941763,0.261826446059001,0.160669300140934,"L","L","LL"
"154","G2601630527300",154,154,10,1128,0,10,27,100,1275,0.465707315473126,0.291071048689558,0.259916201628206,"L","L","LL"
"155","G2601630530100",155,155,18,2928,2,4,43,29,3024,0.180388454981328,0.237397353751183,0.10067671363224,"L","L","LL"
"156","G2601630530200",156,156,517,3367,135,18,72,83,4192,0.715650484067723,0.522357272802875,0.39941214005474,"M","M","MM"
"157","G2601630530300",157,157,16,1817,4,8,37,9,1891,0.217309058307606,0.291482502238477,0.12128249468732,"L","L","LL"
"158","G2601630530400",158,158,5,1654,0,6,16,13,1694,0.14192112798903,0.248859489963607,0.0792076896628175,"L","L","LL"
"159","G2601630530500",159,159,43,2170,3,1,56,10,2283,0.249907978359926,0.203364874622064,0.139476298382614,"L","L","LL"
"160","G2601630530800",160,160,28,2044,0,5,35,18,2130,0.218554298071187,0.261641200887868,0.121977476231978,"L","L","LL"
"161","G2601630530900",161,161,20,2591,2,9,40,32,2694,0.213454084914333,0.242211325241038,0.119130993071461,"L","L","LL"
"162","G2601630531100",162,162,82,1466,4,7,28,23,1610,0.406657168735327,0.489342551756118,0.22695968723443,"L","M","LM"
"163","G2601630531200",163,163,88,2326,0,8,61,49,2532,0.37900985551116,0.219589970671481,0.211529427928431,"L","L","LL"
"164","G2601630531300",164,164,29,1412,0,3,44,9,1497,0.278401206520402,0.164959829167206,0.155378671803725,"L","L","LL"
"165","G2601630531400",165,165,11,1865,2,11,21,25,1935,0.206677945772981,0.25316897418235,0.115349157809683,"L","L","LL"
